datetime,training_steps,policy_loss,value_loss,learning_rate,total_games,total_samples
2023-05-30 05:36:20,182600,1.1277402639389038,0.3538324236869812,0.001,930000,60354172
2023-05-30 05:36:30,182800,1.1027116775512695,0.34573227167129517,0.001,930000,60354172
2023-05-30 05:36:39,183000,1.154824137687683,0.38772645592689514,0.001,930000,60354172
2023-05-30 05:47:10,183200,1.0679668188095093,0.32639604806900024,0.001,935000,60607323
2023-05-30 05:47:20,183400,1.0154647827148438,0.3862088918685913,0.001,935000,60607323
2023-05-30 05:47:29,183600,1.1168186664581299,0.3486342132091522,0.001,935000,60607323
2023-05-30 05:47:38,183800,1.1424567699432373,0.3297465443611145,0.001,935000,60607323
2023-05-30 05:47:47,184000,1.0532453060150146,0.38297393918037415,0.001,935000,60607323
2023-05-30 05:58:39,184200,1.167686104774475,0.3580588698387146,0.001,940000,60865082
2023-05-30 05:58:48,184400,1.053453803062439,0.3913893699645996,0.001,940000,60865082
2023-05-30 05:58:58,184600,1.132716417312622,0.3720594346523285,0.001,940000,60865082
2023-05-30 05:59:08,184800,1.1404978036880493,0.36620843410491943,0.001,940000,60865082
2023-05-30 05:59:18,185000,1.0815157890319824,0.4011320471763611,0.001,940000,60865082
2023-05-30 06:10:06,185200,1.1276555061340332,0.35732126235961914,0.001,945000,61122292
2023-05-30 06:10:16,185400,1.0779647827148438,0.34519174695014954,0.001,945000,61122292
2023-05-30 06:10:25,185600,1.0954564809799194,0.3804748058319092,0.001,945000,61122292
2023-05-30 06:10:35,185800,1.0216509103775024,0.38074156641960144,0.001,945000,61122292
2023-05-30 06:10:44,186000,1.034902572631836,0.39078450202941895,0.001,945000,61122292
2023-05-30 06:21:19,186200,1.0603010654449463,0.39605411887168884,0.001,950000,61374156
2023-05-30 06:21:28,186400,1.1475508213043213,0.37186792492866516,0.001,950000,61374156
2023-05-30 06:21:37,186600,1.0942554473876953,0.3829662501811981,0.001,950000,61374156
2023-05-30 06:21:46,186800,1.1917545795440674,0.3589467704296112,0.001,950000,61374156
2023-05-30 06:21:55,187000,1.1147704124450684,0.3652709722518921,0.001,950000,61374156
2023-05-30 06:32:45,187200,1.1480320692062378,0.3906622529029846,0.001,955000,61631291
2023-05-30 06:32:55,187400,0.9729974269866943,0.42185544967651367,0.001,955000,61631291
2023-05-30 06:33:05,187600,1.139264464378357,0.40466463565826416,0.001,955000,61631291
2023-05-30 06:33:14,187800,1.13858962059021,0.36560720205307007,0.001,955000,61631291
2023-05-30 06:33:24,188000,1.072046160697937,0.40370097756385803,0.001,955000,61631291
2023-05-30 06:44:00,188200,0.9971259832382202,0.3581242561340332,0.001,960000,61885415
2023-05-30 06:44:10,188400,1.1018152236938477,0.3775225281715393,0.001,960000,61885415
2023-05-30 06:44:20,188600,1.0671851634979248,0.4094029366970062,0.001,960000,61885415
2023-05-30 06:44:29,188800,1.135622262954712,0.37906259298324585,0.001,960000,61885415
2023-05-30 06:44:39,189000,1.239374041557312,0.3507114052772522,0.001,960000,61885415
2023-05-30 06:55:09,189200,1.075275182723999,0.4215535521507263,0.001,965000,62137109
2023-05-30 06:55:19,189400,1.143101692199707,0.3953087329864502,0.001,965000,62137109
2023-05-30 06:55:28,189600,1.0867640972137451,0.34314754605293274,0.001,965000,62137109
2023-05-30 06:55:38,189800,1.0783897638320923,0.3547182083129883,0.001,965000,62137109
2023-05-30 06:55:47,190000,1.0564014911651611,0.3720894157886505,0.001,965000,62137109
2023-05-30 07:06:15,190200,1.0978848934173584,0.3494601845741272,0.001,970000,62388820
2023-05-30 07:06:25,190400,1.0680675506591797,0.36094164848327637,0.001,970000,62388820
2023-05-30 07:06:34,190600,1.04750394821167,0.34511247277259827,0.001,970000,62388820
2023-05-30 07:06:44,190800,1.1121107339859009,0.38392117619514465,0.001,970000,62388820
2023-05-30 07:06:54,191000,1.0058794021606445,0.3504831790924072,0.001,970000,62388820
2023-05-30 07:17:18,191200,1.0221519470214844,0.36809271574020386,0.001,975000,62640004
2023-05-30 07:17:28,191400,1.1203657388687134,0.3738945722579956,0.001,975000,62640004
2023-05-30 07:17:37,191600,1.0444750785827637,0.35729146003723145,0.001,975000,62640004
2023-05-30 07:17:46,191800,1.1229727268218994,0.37444546818733215,0.001,975000,62640004
2023-05-30 07:17:55,192000,1.0755786895751953,0.3958131968975067,0.001,975000,62640004
2023-05-30 07:28:22,192200,1.2394344806671143,0.3313583731651306,0.001,980000,62891032
2023-05-30 07:28:32,192400,1.0976908206939697,0.3518224060535431,0.001,980000,62891032
2023-05-30 07:28:41,192600,1.2259635925292969,0.35528600215911865,0.001,980000,62891032
2023-05-30 07:28:51,192800,1.0849159955978394,0.3660317063331604,0.001,980000,62891032
2023-05-30 07:29:00,193000,1.101304531097412,0.38916242122650146,0.001,980000,62891032
2023-05-30 07:39:36,193200,1.1928770542144775,0.400795578956604,0.001,985000,63145014
2023-05-30 07:39:46,193400,1.1139309406280518,0.36712637543678284,0.001,985000,63145014
2023-05-30 07:39:55,193600,1.1406681537628174,0.39277082681655884,0.001,985000,63145014
2023-05-30 07:40:05,193800,1.1414316892623901,0.3843209147453308,0.001,985000,63145014
2023-05-30 07:40:14,194000,1.190042495727539,0.39594829082489014,0.001,985000,63145014
2023-05-30 07:50:49,194200,1.0184037685394287,0.37354421615600586,0.001,990000,63399219
2023-05-30 07:50:58,194400,1.0643310546875,0.3821297287940979,0.001,990000,63399219
